age,income,employment_length_years,credit_score,dti,utilization,num_delinquencies_12m,loan_amount,term_months,interest_rate,channel,product_type,default_12m,pd_model,applicant_id,recent_bankruptcy,approved_A,approved_B,strategy_group,approved_AB,expected_loss,interest_income,profit
59,70130.43,6,718.0,0.194,0.709,1,3424.87,60,5.5,Branch,Debt Consolidation,0,0.163443495680252,10300,0,1,1,A,1,0.0,410.9844,410.9844
31,90185.82,10,750.0,0.451,0.569,0,2871.0,36,5.0,Online,Personal Loan,0,0.090723247796284,19009,0,0,1,B,1,0.0,344.52,344.52
29,42683.92,21,759.0,0.514,0.425,0,21840.09,36,5.0,Partner,Debt Consolidation,0,0.1385642578964307,14672,0,0,1,A,0,0.0,2620.8107999999997,0.0
33,87487.07,18,684.0,0.13,0.405,1,17228.34,36,5.0,Online,Debt Consolidation,0,0.1395039141391842,7360,0,1,1,A,1,0.0,2067.4008,2067.4008
50,78048.74,10,656.0,0.182,0.425,0,19361.04,36,5.0,Online,Auto Refi,0,0.1613537486050792,17216,0,1,1,A,1,0.0,2323.3248,2323.3248
48,66300.14,17,498.0,0.36,0.373,0,16106.41,36,24.46,Online,Auto Refi,1,0.6751488219153959,15122,0,0,0,B,0,9663.846,1932.7692,0.0
45,42599.46,15,697.0,0.118,0.555,1,14137.42,36,5.0,Branch,Debt Consolidation,0,0.1386847042066342,17503,0,1,1,A,1,0.0,1696.4904,1696.4904
54,29928.92,16,760.0,0.152,0.38,0,10222.68,60,5.0,Online,Debt Consolidation,0,0.0849693568422888,19500,0,1,1,A,1,0.0,1226.7216,1226.7216
30,80738.74,7,698.0,0.175,0.517,1,20712.76,36,5.31,Online,Debt Consolidation,0,0.1871311231570096,2927,0,1,0,A,1,0.0,2485.5312,2485.5312
33,47655.49,1,621.0,0.272,0.268,0,13336.64,60,7.73,Partner,Personal Loan,0,0.2683523572281921,8705,0,0,0,B,0,0.0,1600.3967999999998,0.0
24,83017.49,10,629.0,0.237,0.685,0,17593.2,36,10.46,Online,Debt Consolidation,1,0.2809884712802986,4747,0,0,0,A,0,10555.92,2111.184,0.0
25,78918.06,15,775.0,0.288,0.895,0,19441.63,36,5.0,Online,Auto Refi,0,0.0946411827529382,7887,0,1,1,A,1,0.0,2332.9956,2332.9956
49,57892.5,21,711.0,0.473,0.462,2,13337.39,36,12.92,Partner,Auto Refi,1,0.4551527038095147,1835,0,0,0,A,0,8002.433999999999,1600.4868,0.0
51,50143.92,4,652.0,0.233,0.283,0,6703.86,36,5.0,Branch,Auto Refi,0,0.160721851121748,15493,0,1,1,A,1,0.0,804.4631999999999,804.4631999999999
25,101417.58,13,713.0,0.363,0.252,0,10027.37,36,5.0,Partner,Debt Consolidation,0,0.133268118326333,2113,0,1,1,B,1,0.0,1203.2844,1203.2844
64,101419.68,15,645.0,0.351,0.421,0,10849.22,36,8.25,Online,Personal Loan,0,0.2479546483934373,3090,0,1,0,A,1,0.0,1301.9063999999998,1301.9063999999998
39,43389.1,15,716.0,0.316,0.748,0,2000.0,36,5.0,Online,Auto Refi,0,0.1361745942367225,19979,0,1,1,B,1,0.0,240.0,240.0
37,85936.98,9,695.0,0.148,0.538,0,4336.49,36,5.0,Partner,Debt Consolidation,0,0.1410474315700129,14735,0,1,1,B,1,0.0,520.3788,520.3788
37,65387.32,14,686.0,0.241,0.279,0,6549.23,36,5.0,Branch,Personal Loan,0,0.1501300033950417,12507,0,1,1,B,1,0.0,785.9075999999999,785.9075999999999
25,117467.71,9,565.0,0.356,0.318,0,29344.62,36,16.06,Partner,Personal Loan,0,0.4178587184999611,7101,0,0,0,A,0,0.0,3521.3543999999997,0.0
40,55514.75,16,663.0,0.33,0.234,0,7544.16,36,5.0,Partner,Auto Refi,0,0.1500703729443148,9820,0,1,1,B,1,0.0,905.2991999999999,905.2991999999999
24,40415.3,1,633.0,0.498,0.795,0,6549.59,60,16.74,Online,Auto Refi,1,0.6398268311037265,16921,0,0,0,A,0,3929.754,785.9508,0.0
52,88099.6,17,652.0,0.272,0.039,0,29276.31,36,15.44,Online,Personal Loan,0,0.4767655151459968,762,1,0,0,B,0,0.0,3513.1572,0.0
