age,income,employment_length_years,credit_score,dti,utilization,num_delinquencies_12m,loan_amount,term_months,interest_rate,channel,product_type,default_12m,pd_model,applicant_id
59,70130.43,6,718.0,0.194,0.709,1,3424.87,60,5.5,Branch,Debt Consolidation,0,0.16344349568025202,10300
31,90185.82,10,750.0,0.451,0.569,0,2871.0,36,5.0,Online,Personal Loan,0,0.09072324779628407,19009
29,42683.92,21,759.0,0.514,0.425,0,21840.09,36,5.0,Partner,Debt Consolidation,0,0.13856425789643073,14672
33,87487.07,18,684.0,0.13,0.405,1,17228.34,36,5.0,Online,Debt Consolidation,0,0.13950391413918425,7360
50,78048.74,10,656.0,0.182,0.425,0,19361.04,36,5.0,Online,Auto Refi,0,0.16135374860507928,17216
48,66300.14,17,498.0,0.36,0.373,0,16106.41,36,24.46,Online,Auto Refi,1,0.6751488219153959,15122
45,42599.46,15,697.0,0.118,0.555,1,14137.42,36,5.0,Branch,Debt Consolidation,0,0.1386847042066342,17503
54,29928.92,16,760.0,0.152,0.38,0,10222.68,60,5.0,Online,Debt Consolidation,0,0.08496935684228885,19500
30,80738.74,7,698.0,0.175,0.517,1,20712.76,36,5.31,Online,Debt Consolidation,0,0.18713112315700967,2927
33,47655.49,1,621.0,0.272,0.268,0,13336.64,60,7.73,Partner,Personal Loan,0,0.2683523572281921,8705
24,83017.49,10,629.0,0.237,0.685,0,17593.2,36,10.46,Online,Debt Consolidation,1,0.28098847128029864,4747
25,78918.06,15,775.0,0.288,0.895,0,19441.63,36,5.0,Online,Auto Refi,0,0.09464118275293829,7887
49,57892.5,21,711.0,0.473,0.462,2,13337.39,36,12.92,Partner,Auto Refi,1,0.4551527038095147,1835
51,50143.92,4,652.0,0.233,0.283,0,6703.86,36,5.0,Branch,Auto Refi,0,0.16072185112174803,15493
25,101417.58,13,713.0,0.363,0.252,0,10027.37,36,5.0,Partner,Debt Consolidation,0,0.133268118326333,2113
64,101419.68,15,645.0,0.351,0.421,0,10849.22,36,8.25,Online,Personal Loan,0,0.24795464839343734,3090
39,43389.1,15,716.0,0.316,0.748,0,2000.0,36,5.0,Online,Auto Refi,0,0.1361745942367225,19979
37,85936.98,9,695.0,0.148,0.538,0,4336.49,36,5.0,Partner,Debt Consolidation,0,0.14104743157001295,14735
