applicant_id,age,income,employment_length_years,credit_score,dti,utilization,num_delinquencies_12m,recent_bankruptcy,loan_amount,term_months,interest_rate,channel,product_type,default_12m
1,59,61972.52,12,668.0,0.469,0.445,0,1,10985.8,60,22.6,Online,Personal Loan,0
2,49,55828.97,17,515.0,0.42,0.722,1,0,13529.03,36,25.0,Online,Personal Loan,0
3,35,90001.29,12,721.0,0.364,0.683,1,0,9453.48,60,7.74,Branch,Personal Loan,1
4,63,59497.59,12,671.0,0.357,0.225,1,0,10428.33,36,7.94,Online,Debt Consolidation,0
5,28,52615.2,6,622.0,0.297,0.536,1,0,7432.95,60,15.57,Online,Debt Consolidation,0
6,41,91375.28,4,683.0,0.682,0.29,1,0,18016.75,36,13.75,Online,Debt Consolidation,1
7,59,89199.42,2,660.0,0.343,0.48,0,0,22062.15,36,7.3,Partner,Debt Consolidation,0
8,39,69727.49,5,558.0,0.633,0.712,1,0,24226.66,36,25.0,Online,Auto Refi,1
9,43,62402.63,7,686.0,0.568,0.353,0,1,12521.44,60,21.5,Online,Auto Refi,1
10,31,57409.01,11,721.0,0.375,0.253,0,0,14882.14,60,5.0,Partner,Debt Consolidation,0
11,31,64120.52,1,642.0,0.295,0.46,0,0,8774.84,36,7.97,Online,Personal Loan,0
12,44,47505.77,10,698.0,0.322,0.714,0,0,12964.68,36,5.66,Branch,Debt Consolidation,0
13,56,74667.34,19,688.0,0.272,0.851,0,0,17804.37,60,6.95,Partner,Personal Loan,0
14,60,98050.06,2,753.0,0.375,0.327,0,0,17403.51,60,5.0,Online,Personal Loan,0
15,44,76252.4,22,673.0,0.401,0.476,0,0,14797.6,36,7.03,Online,Debt Consolidation,0
16,23,42935.27,9,736.0,0.173,0.505,0,0,10818.96,36,5.0,Online,Debt Consolidation,0
17,42,74102.02,7,658.0,0.634,0.166,0,0,9077.06,36,9.56,Branch,Debt Consolidation,1
18,22,68890.77,7,818.0,0.226,0.155,0,0,22635.31,36,5.0,Online,Personal Loan,0
19,44,73925.9,13,649.0,0.05,0.515,0,0,23987.0,36,5.0,Online,Personal Loan,1
20,64,48608.63,3,632.0,0.31,0.375,0,0,16080.28,60,8.33,Branch,Personal Loan,1
21,50,65067.15,14,673.0,0.182,0.17,0,0,7449.95,60,5.0,Branch,Personal Loan,0
22,58,82661.98,9,629.0,0.314,0.587,0,0,13221.96,60,10.88,Branch,Auto Refi,1
23,22,43600.04,17,593.0,0.329,0.462,3,0,13723.01,36,25.0,Branch,Debt Consolidation,1
